mH	u_0	u_1	u_2	
110	0.941	1.128	1.212
115	0.941	1.128	1.212
118	0.940   1.110   1.293
120	0.940	1.110	1.293
122	0.940   1.110   1.293
124	0.940   1.110   1.293
125	0.940   1.110   1.293
126	0.937	1.113	1.237
128	0.937	1.113	1.237
130	0.937	1.113	1.237
135	0.941	1.104	1.168
140	0.941	1.104	1.168
145	0.941	1.104	1.168
150	0.942	1.093	1.156
155	0.942	1.093	1.156
160	0.943	1.084	1.138
170	0.946	1.075	1.108
180	0.947	1.067	1.092
190	0.948	1.068	1.083
200	0.952	1.055	1.059
210	0.948	1.061	1.042
220	0.950	1.061	1.028
230	0.950	1.061	1.024
250	0.955	1.058	0.990
300	0.958	1.061	0.942
350	0.964	1.068	0.889
400	0.966	1.078	0.856
450	0.954	1.092	0.864
500	0.946	1.102	0.868
550	0.931	1.117	0.861
600	0.920	1.121	0.872
700	0.920	1.121	0.872
800	0.920	1.121	0.872
900	0.920	1.121	0.872
1000	0.920	1.121	0.872
