mH	ggH0	ggH1in0	ggH1in1	ggH2in1	ggH2in2
110     1.16    0.92    1.28    0.97    1.15
115	1.16	0.92	1.28	0.97	1.15
118	1.16    0.92    1.28    0.97    1.13
120	1.16	0.92	1.28	0.97	1.12
122     1.16    0.92    1.28    0.97    1.12
124     1.16    0.92    1.28    0.97    1.12
125     1.16    0.92    1.28    0.97    1.12
126     1.16    0.92    1.28    0.97    1.12
128     1.16    0.92    1.28    0.97    1.12
130	1.15	0.91	1.29	0.98	1.12
135     1.15    0.91    1.28    0.97    1.13
140	1.15	0.91	1.28	0.97	1.13
145     1.15    0.91    1.28    0.97    1.13
150	1.15	0.9	1.28	0.97	1.12
155     1.15    0.9     1.28    0.97    1.16
160	1.15	0.9	1.28	0.96	1.2
170	1.15	0.89	1.28	0.96	1.18
180	1.15	0.89	1.28	0.96	1.17
190	1.15	0.88	1.28	0.96	1.17
200	1.15	0.88	1.27	0.96	1.2
210     1.15    0.88    1.27    0.96    1.2 
220     1.15    0.88    1.27    0.96    1.19 
230     1.16    0.88    1.27    0.96    1.18 
250	1.16	0.86	1.27	0.96	1.17
300	1.17	0.84	1.27	0.95	1.2
350	1.2	0.83	1.27	0.95	1.21
400	1.17	0.82	1.26	0.95	1.2
450	1.19	0.81	1.26	0.95	1.2
500	1.22	0.8	1.25	0.95	1.17
550	1.24	0.78	1.26	0.95	1.19
600	1.25	0.78	1.26	0.94	1.19
650	1.252	0.781	1.259	0.937	1.188
700	1.250	0.780	1.260	0.940	1.190
750	1.250	0.780	1.260	0.941	1.191
800	1.250	0.780	1.260	0.940	1.190
850	1.250	0.780	1.260	0.940	1.190
900	1.250	0.780	1.260	0.940	1.190
950	1.250   0.780   1.260   0.940   1.190
1000	1.250   0.780   1.260   0.940   1.190

